2016,,,,,,,,,,,,,,,,,,,
GL,1,,,,,,,,,,,,,,,,,,
RCB,2,,,,,,,,,,,,,,,,,,
AJ Finch,BB McCullum,SK Raina,KD Karthik,DR Smith,RA Jadeja,DJ Bravo,ER Dwivedi,P Kumar,DS Kulkarni,SB Jakati,,,,,,,,,
S Aravind,Iqbal Abdulla,S Aravind,SR Watson,Iqbal Abdulla,SR Watson,CJ Jordan,YS Chahal,STR Binny,YS Chahal,Iqbal Abdulla,YS Chahal,Iqbal Abdulla,CJ Jordan,S Aravind,SR Watson,YS Chahal,CJ Jordan,SR Watson,CJ Jordan
score,167,,,,,,,,,,,,,,,,,,
wkt,4,,,,,,,,,,,,,,,,,,
balls,120,,,,,,,,,,,,,,,,,,
CH Gayle,V Kohli,AB de Villiers,KL Rahul,SR Watson,Sachin Baby,STR Binny,Iqbal Abdulla,CJ Jordan,S Aravind,YS Chahal,,,,,,,,,
P Kumar,DS Kulkarni,P Kumar,DS Kulkarni,RA Jadeja,DS Kulkarni,RA Jadeja,DS Kulkarni,SB Jakati,RA Jadeja,SB Jakati,DJ Bravo,RA Jadeja,DJ Bravo,DR Smith,SB Jakati,P Kumar,DJ Bravo,P Kumar,DJ Bravo
score,169,,,,,,,,,,,,,,,,,,
wkt,3,,,,,,,,,,,,,,,,,,
balls,89,,,,,,,,,,,,,,,,,,
